turn_index,status,timing_turn_total_ms,timing_retrieve_ms,timing_conversation_ms,prompt_char_len,memory_window_len,assistant_response_char_len,total_tokens,user_path_tokens,background_tokens,total_input_tokens,total_output_tokens,llm_requests,user_path_requests,background_requests,pipeline_runs,retrieval_entries,error,ps1_extraction_requests,ps1_extraction_tokens,ps1_extraction_avg_latency_ms,ps2_conflict_requests,ps2_conflict_tokens,ps2_conflict_avg_latency_ms,retrieval_requests,retrieval_tokens,retrieval_avg_latency_ms,core_memory_requests,core_memory_tokens,core_memory_avg_latency_ms,summary_requests,summary_tokens,summary_avg_latency_ms,conversation_requests,conversation_tokens,conversation_avg_latency_ms
1,success,27151.800600026036,24267.89670001017,2782.6321000175085,62,0,205,518,518,0,296,222,2,2,0,0,1,,0,0,,0,0,,1,423,23000.0,0,0,,0,0,,1,95,2766.0000000032596
2,success,13386.068800027715,9654.42889998667,3636.8101999978535,62,2,358,574,574,0,368,206,2,2,0,0,1,,0,0,,0,0,,1,381,9375.0,0,0,,0,0,,1,193,3625.0
3,success,18243.509299994912,13264.663899986772,4884.834600001341,62,4,521,759,759,0,470,289,2,2,0,0,1,,0,0,,0,0,,1,436,12984.99999998603,0,0,,0,0,,1,323,4858.99999999674
4,success,12834.574999986216,8081.855299999006,4644.132099987473,62,6,437,803,803,0,602,201,2,2,0,0,1,,0,0,,0,0,,1,360,7843.9999999827705,0,0,,0,0,,1,443,4625.0
5,success,12391.320900002029,7711.20950000477,4567.0514999947045,62,8,377,899,899,0,710,189,2,2,0,0,1,,0,0,,0,0,,1,353,7516.00000000326,0,0,,0,0,,1,546,4547.000000020489
6,success,14255.692800012184,9349.998099991353,4813.655800011475,62,10,443,1000,1000,0,811,189,2,2,0,0,1,,0,0,,0,0,,1,352,8514.999999984866,0,0,,0,0,,1,648,4655.999999988126
7,success,13322.959299985087,8775.04459998454,4447.34499999322,62,12,326,1095,1095,0,913,182,2,2,0,0,1,,0,0,,0,0,,1,356,8014.999999984866,0,0,,0,0,,1,739,4296.0000000020955
8,success,18943.067899992457,14590.808499982813,4258.5715999885,62,14,302,1269,1269,0,1010,259,2,2,0,0,1,,0,0,,0,0,,1,444,13782.00000000652,0,0,,0,0,,1,825,4109.000000025844
9,success,17303.994600020815,12080.035399994813,5110.739700001432,62,16,320,1344,1344,0,1092,252,2,2,0,0,1,,0,0,,0,0,,1,411,11342.99999999348,0,0,,0,0,,1,933,4953.000000008615
10,success,14412.023399985628,9488.787900016177,4828.761399985524,62,18,334,1385,1385,0,1196,189,2,2,0,0,1,,0,0,,0,0,,1,358,8797.00000002049,0,0,,0,0,,1,1027,4671.999999991385
